,samples,cutoff,cycles,time,I,var_mc,var_t,rel_err
0,100.0,1.0,10.0,0.0015415039961226285,0.1337642719793647,0.0034671323755256097,0.02068537072727362,0.3060784964605529
1,100.0,1.0,100.0,0.013280383980600163,0.1421345795529124,0.005370224830891368,0.29141776551299003,0.2626563155554763
2,100.0,1.0,500.0,0.10432892001699656,0.16751272221030297,0.01617588491684765,0.9141863747505005,0.13100353077770135
3,100.0,2.0,10.0,0.001865205995272845,0.28204038222111805,0.13458610310354774,0.8632458528872691,0.46312526651294916
4,100.0,2.0,100.0,0.013202876987634227,0.0960197151552404,0.017495292028263696,0.6521265488147275,0.5018838429425113
5,100.0,2.0,500.0,0.06785192698589526,0.15485416139950614,0.1461419232547088,14.426460242670885,0.1966716454430938
6,100.0,3.0,10.0,0.0014777879987377673,0.057352423220949175,0.011134547197673587,0.12601203249536894,0.7024760112382531
7,100.0,3.0,100.0,0.013328127999557182,0.4926273303334382,10.431492018627988,864.1799246041384,1.5555755112421827
8,100.0,3.0,500.0,0.06994086501072161,0.15063860260297857,0.3637392240709263,29.65904190888477,0.21854046628036958
9,100.0,4.0,10.0,0.0014315919834189117,0.03338355696014265,0.00437539206615982,0.03919581956928039,0.8268179709238755
10,100.0,4.0,100.0,0.01428591599687934,0.042353029951055714,0.05051900216449652,4.226678613979742,0.7802875327754062
11,100.0,4.0,500.0,0.06655280498671345,0.056556859165734635,0.09064684956802341,15.73964299860371,0.7066031148152201
12,100.0,5.0,10.0,0.001615972985746339,0.0009089466394090504,2.017463941519302e-06,1.506745906485672e-05,0.9952847078721203
13,100.0,5.0,100.0,0.013191863021347672,0.010325364676203723,0.002171287098903329,0.1720512003148547,0.9464356776687746
14,100.0,5.0,500.0,0.0687753870151937,0.03570326421307625,0.131839062018229,55.936992592615645,0.814784154113843
15,100.0,6.0,10.0,0.0017201000009663403,0.00025939321161234723,3.179797610418286e-07,3.22608326640407e-06,0.9986543602058573
16,100.0,6.0,100.0,0.014153398980852216,0.0028513479959470346,0.00025932673317503494,0.012149756281716176,0.9852082199590113
17,100.0,6.0,500.0,0.06852247301139869,0.014389702150040106,0.02154727523472066,8.41831633639349,0.925351339309939
18,100.0,7.0,10.0,0.0014995060046203434,0.01317572098925214,0.00084527109084085,0.008626041861337896,0.9316490421262223
19,100.0,7.0,100.0,0.014294602005975321,0.003947784940532032,0.0007765370925051386,0.06982997437685914,0.9795202947614668
20,100.0,7.0,500.0,0.06447235398809426,0.04566149518362997,0.3824542385778633,138.60037871594196,0.7631243909691242
21,100.0,8.0,10.0,0.0014055709762033075,0.032784513537723395,0.009672505588093806,0.10610269573563084,0.8299255953008445
22,100.0,8.0,100.0,0.013560195977333933,0.0014647153872097128,4.521906785314615e-05,0.0032134607970840602,0.9924015771273609
23,100.0,8.0,500.0,0.06661311301286332,0.04715999045147688,1.0384050798979716,514.9830749838802,0.7553507300810247
24,100.0,9.0,10.0,0.0022783380118198693,1.9542562435763036e-08,1.4112745028618305e-15,8.146221481102885e-15,0.9999998986201315
25,100.0,9.0,100.0,0.012915298022562638,5.917095113731971e-05,6.403455983136913e-08,1.9736320679326066e-06,0.9996930421347083
26,100.0,9.0,500.0,0.06777196802431718,8.958937569042587e-05,1.9841429524916054e-06,0.000961849898788395,0.9995352421587593
27,100.0,10.0,10.0,0.001386358984746039,9.914875606215618e-08,7.406854123073829e-14,7.058546018404988e-13,0.9999994856514908
28,100.0,10.0,100.0,0.01381499698618427,5.831253312829311e-06,8.840368688200776e-10,6.223541114205454e-08,0.999969749530226
29,100.0,10.0,500.0,0.0678295569960028,0.001238408882199755,0.00021474263067582919,0.07235266447401179,0.9935755748465837
30,1000.0,1.0,10.0,0.003904835000867024,0.1700251349688542,0.0013911983743225191,0.009608490354650629,0.11797002629158179
31,1000.0,1.0,100.0,0.03020968398777768,0.16741278312285143,0.0018054915241922176,0.04506618443874258,0.13152197924529688
32,1000.0,1.0,500.0,0.12214672300615348,0.1625883043692184,0.0013584237832620074,0.04352749450313813,0.15654966041139787
33,1000.0,2.0,10.0,0.002327682013856247,0.11715648379548249,0.003422082853414759,0.007569038810749325,0.3922337991919283
34,1000.0,2.0,100.0,0.023259415000211447,0.21201992179468981,0.046281399476921295,0.7476281740113746,0.09988400291808558
35,1000.0,2.0,500.0,0.15946749100112356,0.1919416553069451,0.06650617775007665,6.526654258470933,0.004274907854372849
36,1000.0,3.0,10.0,0.0025584539980627596,0.2401552045402274,0.11353622517961656,0.9417217958280181,0.2458398505924388
37,1000.0,3.0,100.0,0.024927354010287672,0.08368099173885651,0.015246579678338357,0.5791908330654624,0.5658927548751037
38,1000.0,3.0,500.0,0.1215110509947408,0.2829116742089067,5.272511665997038,2467.387920524591,0.46764521969059186
39,1000.0,4.0,10.0,0.0028370879881549627,0.4637174928398372,1.186972269042993,13.61749155250822,1.4056015488097073
40,1000.0,4.0,100.0,0.024653103988384828,0.159520095234746,0.5589925689079105,54.698391766069705,0.172466438967147
41,1000.0,4.0,500.0,0.12254586201743223,0.1478692329469132,0.3412487255539276,48.18777674684221,0.23290697182895026
42,1000.0,5.0,10.0,0.003303122997749597,0.14363400794521966,0.08444336547935699,0.8948540481898637,0.2548778139493067
43,1000.0,5.0,100.0,0.024155018996680155,0.10012492258576129,0.16013530608134074,7.906575507847666,0.48058748577347726
44,1000.0,5.0,500.0,0.11487860599299893,0.27703005168257216,19.46609921278791,9659.619209543418,0.43713345233798234
45,1000.0,6.0,10.0,0.002377208002144471,0.0008534253142726819,1.413740674602154e-06,1.3182942854066928e-05,0.995572732774787
46,1000.0,6.0,100.0,0.022915485984412953,0.04524205991398457,0.0910923237929238,8.951579112397956,0.7653002720817932
47,1000.0,6.0,500.0,0.11851023699273355,0.11379044358726267,1.3096162849700321,577.2707052779837,0.4096956195098564
48,1000.0,7.0,10.0,0.0029317720036488026,0.0054298407421580425,0.000110100936617017,0.0006859698361008793,0.971831915981576
49,1000.0,7.0,100.0,0.025439502991503105,0.013148007706391693,0.008965514173397153,0.8962403867132483,0.9317928087884706
50,1000.0,7.0,500.0,0.11969902200507931,0.06278798824944781,0.39182365783402523,74.32567891554436,0.6742782316566913
51,1000.0,8.0,10.0,0.002473286003805697,0.0003268224132681995,2.7686258698641197e-07,2.3974490081154193e-06,0.9983045614718372
52,1000.0,8.0,100.0,0.024395183980232105,0.024414737694664956,0.055005940066604996,5.553717254968553,0.8733450177771185
53,1000.0,8.0,500.0,0.12432727499981411,0.03535980302037176,0.11892740494462092,38.20526754259986,0.8165659087163404
54,1000.0,9.0,10.0,0.003298719006124884,0.0027852359503922745,3.1139287945079735e-05,0.0002245769794280903,0.9855511857552929
55,1000.0,9.0,100.0,0.02396696398500353,0.0022812083551262217,0.0001783398354252926,0.012073997464881673,0.9881659017893797
56,1000.0,9.0,500.0,0.1206975009990856,0.21920614915745956,22.182157325966564,11099.3204604605,0.13716359650880744
57,1000.0,10.0,10.0,0.0024431379861198366,0.052930869500316245,0.024641064640370604,0.274145018887172,0.7254134605317039
58,1000.0,10.0,100.0,0.02472364902496338,0.008361813472967215,0.005284058126488353,0.5326369381500491,0.9566218834699527
59,1000.0,10.0,500.0,0.12338169399299659,0.08637209366650472,1.2387683323980043,534.7003483767262,0.5519322744853953
60,10000.0,1.0,10.0,0.014249045023461804,0.16250063002303464,0.00012326222009120724,0.0001681756238457449,0.15700448376015466
61,10000.0,1.0,100.0,0.1386292639945168,0.1626302479149972,0.00012936884604990024,0.0006680481217737316,0.1563320722025293
62,10000.0,1.0,500.0,0.6505573960021138,0.16440550507775736,0.00014248245124642646,0.003927915988722846,0.14712266896410886
63,10000.0,2.0,10.0,0.013839763996656984,0.20174933570269277,0.010759444365214503,0.11633353408039226,0.04660385241355192
64,10000.0,2.0,100.0,0.13171982500352897,0.189491073099208,0.004948221067086724,0.09556771338552489,0.01698765741729251
65,10000.0,2.0,500.0,0.6803608550108038,0.19199601559507556,0.01029555328667881,1.0338056427413438,0.003992905999063155
66,10000.0,3.0,10.0,0.015384327009087428,0.19734739656233394,0.010670600442502287,0.049829189272447665,0.02376815659159012
67,10000.0,3.0,100.0,0.13065035801264457,0.2683037152504977,0.604600964288541,47.230160690165924,0.3918643202466394
68,10000.0,3.0,500.0,0.6465912790154107,0.18834971187202326,0.055936238882838274,3.495277983033678,0.022908633826986213
69,10000.0,4.0,10.0,0.015749431011499837,0.09349699523342733,0.010065145762968786,0.07591423384941555,0.514970817328493
70,10000.0,4.0,100.0,0.14074160100426525,0.1697425313367847,0.14900845834904827,7.540698413915664,0.11943607349813055
71,10000.0,4.0,500.0,0.6974160519894212,0.15289174315073478,0.10168850398926853,16.513312395001268,0.20685197387915588
72,10000.0,5.0,10.0,0.014739529986400157,0.27783856637040866,0.5466536453234281,5.67545683404436,0.44132773919436935
73,10000.0,5.0,100.0,0.13815881000482477,0.12841774175137505,0.09891495875447127,5.143674194977619,0.33381439513982064
74,10000.0,5.0,500.0,0.6629791430023033,0.1839216719410051,0.9947472969788692,369.56017386101024,0.045879731274732626
75,10000.0,6.0,10.0,0.015903475985396653,0.2649068712736259,0.4048128616137673,4.483647267038967,0.37424270092452766
76,10000.0,6.0,100.0,0.13114659499842674,0.7343542625079366,41.10562895715598,4149.280596707185,2.8095689262131285
77,10000.0,6.0,500.0,0.6499804150080308,0.1588193545388416,0.561076833396507,86.49857079913245,0.17610163265599893
78,10000.0,7.0,10.0,0.015175076987361535,0.042079890019242075,0.005561904709409956,0.06365591042248074,0.7817044856684031
79,10000.0,7.0,100.0,0.132096352026565,0.12458997353471027,0.15496843146578956,5.341639133593197,0.35367149626857564
80,10000.0,7.0,500.0,0.6443595179880504,0.27478717055861873,11.392786765018727,5472.438303620313,0.4254981821812838
81,10000.0,8.0,10.0,0.015369347005616874,1.21127404576391,13.14801469129101,144.1584378856569,5.283659265640579
82,10000.0,8.0,100.0,0.13164262397913262,0.18513851311514146,0.9660430494311163,81.03737773664805,0.03956719172563931
83,10000.0,8.0,500.0,0.652153001021361,0.22770811252459336,4.974611558916222,1578.8150162075779,0.18126876088086719
84,10000.0,9.0,10.0,0.01558886599377729,0.002111923526925235,7.401245976854374e-06,4.8063206422146246e-05,0.9890440913146795
85,10000.0,9.0,100.0,0.13041055900976062,0.4870335338996737,13.7864725035431,1303.8615631520922,1.5265568833651495
86,10000.0,9.0,500.0,0.660279364004964,0.10006299571884261,1.6039488728595754,754.7920513079711,0.4809087403503969
87,10000.0,10.0,10.0,0.01565809900057502,0.0007026797670596703,1.5736005420034624e-06,1.8930597151493404e-05,0.9963547470991355
88,10000.0,10.0,100.0,0.13043801800813526,0.041193150418432085,0.03966007013977916,3.042953209530211,0.7863045755723571
89,10000.0,10.0,500.0,0.6816172219987493,0.05290068096956168,0.13036239866323437,29.563796666817083,0.7255700679003299
90,100000.0,1.0,10.0,0.1447232549835462,0.16528305636285054,6.259767078038103e-06,2.870994926872592e-05,0.1425702447765891
91,100000.0,1.0,100.0,1.3842779470141977,0.16462203941900277,1.5573646440400546e-05,0.00011977868940926345,0.1459993657574939
92,100000.0,1.0,500.0,6.551404335012194,0.1648662260944684,1.649579083212475e-05,0.0007633225889992113,0.14473261206851518
93,100000.0,2.0,10.0,0.13481428599334322,0.18252828047914274,0.00046533301681580966,0.0010857881255121478,0.05310815097101527
94,100000.0,2.0,100.0,1.322312084987061,0.1933255103093123,0.0007294544019063458,0.007349584839520349,0.002904040079282987
95,100000.0,2.0,500.0,6.71891425299691,0.1926081354524549,0.0013508794459865573,0.11235235511521005,0.0008174457248537441
96,100000.0,3.0,10.0,0.13675302598858252,0.15064650528640383,0.0011103648090788553,0.0030043788919462,0.21849946996735334
97,100000.0,3.0,100.0,1.3008612380072009,0.2042625860730018,0.011261969660409807,0.15261802692343618,0.05964170213178575
98,100000.0,3.0,500.0,6.613545874017291,0.19667762851514536,0.010924243173805512,0.9435044947311169,0.020293637996673594
99,100000.0,4.0,10.0,0.14053552999394014,0.2509886536459413,0.02486459610203185,0.11065532206765373,0.30203993437202065
100,100000.0,4.0,100.0,1.296712926006876,0.19839573469576272,0.04537503806727966,1.8799953219692285,0.029206562251053943
101,100000.0,4.0,500.0,6.453604367998196,0.18434232252795582,0.03162365438874516,5.806062786653763,0.043697545527804374
102,100000.0,5.0,10.0,0.13761216000420973,0.23455514274973535,0.11212406648177684,1.2411795938965837,0.21678872027139515
103,100000.0,5.0,100.0,1.3044703409832437,0.17063126034417628,0.03984018283248017,1.7667794682939117,0.11482566325986146
104,100000.0,5.0,500.0,6.917924790002871,0.23203202577090257,0.37694108422501754,126.46592673131248,0.20369968609470818
105,100000.0,6.0,10.0,0.13844578398857266,0.1538095896839082,0.005979708652132353,0.06248370195129909,0.20209051226542674
106,100000.0,6.0,100.0,1.3532767920114566,0.17763960956654773,0.1476774653397088,7.393315635626451,0.07846883824407737
107,100000.0,6.0,500.0,6.890961805009283,0.1855608576291675,0.19886516127609588,42.32041331380747,0.03737621848706185
108,100000.0,7.0,10.0,0.1431453480035998,0.09365816202043788,0.03408610089468444,0.4041920668640777,0.5141347413157575
109,100000.0,7.0,100.0,1.4181977710104547,0.18012256658716053,0.2946546347663077,20.718382297045896,0.06558813965788646
110,100000.0,7.0,500.0,6.9689049889857415,0.1378963872490067,0.14545527138042194,15.860492969884781,0.28464255098513747
111,100000.0,8.0,10.0,0.1422737950051669,0.09896050820015154,0.007794673083084023,0.0496466891710505,0.48662805377604473
112,100000.0,8.0,100.0,1.3826383209961932,0.18752220718953286,0.6258223733772121,52.93647251115048,0.02720143402664085
113,100000.0,8.0,500.0,6.978119895007694,0.160163643706162,0.5374740630479581,170.96588966400796,0.16912793821296654
114,100000.0,9.0,10.0,0.13412863801931962,0.043324627752471624,0.0034922302546084513,0.03659607798788672,0.7752472286851021
115,100000.0,9.0,100.0,1.4931453810131643,0.12241521653178744,0.24531386258451857,20.56657082703231,0.3649533626965106
116,100000.0,9.0,500.0,6.964021096006036,0.15741076942152196,0.9188057868196898,250.1949418529126,0.18340887163700667
117,100000.0,10.0,10.0,0.15897494700038806,0.025022093452540556,0.0022874524991968606,0.019931461936822145,0.8701942719579853
118,100000.0,10.0,100.0,1.4577464999747463,0.15474615181378054,1.0749679564056736,107.78932032939167,0.1972319607875001
119,100000.0,10.0,500.0,6.827896622009575,0.14488237345935812,2.8947961353337317,1397.7804440461005,0.24840173732795456
120,1000000.0,1.0,10.0,1.651306237996323,0.16526988911308124,1.5247178567322146e-06,2.2482233134388233e-06,0.14263855178878443
121,1000000.0,1.0,100.0,14.816153007996036,0.16460511147536028,1.5685807759086145e-06,6.489318727385288e-06,0.1460871819129621
122,1000000.0,1.0,500.0,74.58213083998999,0.1646296996841074,1.535698323747031e-06,6.5219861426577045e-06,0.14595962702457024
123,1000000.0,2.0,10.0,1.478143093001563,0.19382802891207165,7.09105881410642e-05,0.0003641905212407527,0.005510927996537186
124,1000000.0,2.0,100.0,14.73879414901603,0.1917778456080174,0.00010600099295531933,0.0004918348315272155,0.005124694354850309
125,1000000.0,2.0,500.0,75.28710479298024,0.19189357613961444,0.0001005238414161,0.0026664044815167534,0.004524325487267828
126,1000000.0,3.0,10.0,1.4559925260255113,0.1765523249430166,0.00035958832830784124,0.0013356767031307663,0.08410928445270653
127,1000000.0,3.0,100.0,15.478574550012127,0.19816032232544767,0.0007835869039528696,0.007309133269581103,0.027985326538830256
128,1000000.0,3.0,500.0,74.77071927898214,0.19393672956054178,0.0009267117782690719,0.03533423842374261,0.006074828328860158
129,1000000.0,4.0,10.0,1.4714307000103872,0.18807463024793641,0.0015973514868449095,0.005909486230675224,0.0243356595294239
130,1000000.0,4.0,100.0,14.16804634500295,0.20719265465897638,0.009678464746668636,0.4170500678524261,0.07484185661673554
131,1000000.0,4.0,500.0,72.85427004299709,0.18942248390371674,0.0054169015507799295,0.417636889190224,0.01734347378707177
132,1000000.0,5.0,10.0,1.4784110600012355,0.23281530447240528,0.0425939897736312,0.4044215745679201,0.2077630576228023
133,1000000.0,5.0,100.0,14.383769712003414,0.17779099452351246,0.008717519595906798,0.1577793187992417,0.07768350688918144
134,1000000.0,5.0,500.0,74.03192603299976,0.20349936418909925,0.038535880608793274,8.373901713912574,0.055682378245258235
135,1000000.0,6.0,10.0,1.4151907009945717,0.20151590635503966,0.03188368369538047,0.23823346006152077,0.04539290391813705
136,1000000.0,6.0,100.0,14.445129707019078,0.1973063133066434,0.03034698211050362,0.6112245382229192,0.02355503126195442
137,1000000.0,6.0,500.0,73.62703819901799,0.18684449307832757,0.06393774128716426,11.045674181603562,0.030717173977664724
138,1000000.0,7.0,10.0,1.4528544560016599,0.1659009146863124,0.008955608403926176,0.04966577948549919,0.13936501537978008
139,1000000.0,7.0,100.0,14.715705591981532,0.16176743802067173,0.03978293033710207,1.7311090618084282,0.16080802329379976
140,1000000.0,7.0,500.0,73.75256628901116,0.18591951403728038,0.0789915196850102,7.9175594869805455,0.0355156365073674
141,1000000.0,8.0,10.0,1.4054557640047278,0.15061821033926434,0.03605600971878019,0.3823825238771564,0.21864625409715918
142,1000000.0,8.0,100.0,14.20926512000733,0.20381852356527133,0.16579349520865605,13.593372416270977,0.05733806366039066
143,1000000.0,8.0,500.0,71.93792054697406,0.22843104525504104,0.41720670495958373,75.87939546991048,0.1850190789579358
144,1000000.0,9.0,10.0,1.527511771011632,0.2506799201656662,0.15549461780972135,1.69258309868988,0.3004383347994643
145,1000000.0,9.0,100.0,14.637686269998085,0.17361861710515558,0.10844376558288502,4.599401946422289,0.09932831808306204
146,1000000.0,9.0,500.0,74.05752216797555,0.19191610969217412,0.22175896550493404,26.304881392308435,0.004407429424956712
147,1000000.0,10.0,10.0,1.4817976219928823,0.05410376782397601,0.00574419988855813,0.05040061350737986,0.7193288808737034
148,1000000.0,10.0,100.0,15.340649374993518,0.16834986252421463,0.11971185319587745,4.1591426447862965,0.12666074434671268
149,1000000.0,10.0,500.0,74.53587952398811,0.14864180934229682,0.14259664802327718,16.34049723639644,0.22889912006142907
