,S,I,R
0,300.0,100.0,0.0
1,174.63134129842123,117.18180974324544,108.18684895833333
2,130.57894287036257,89.14701899622412,180.27403813341334
3,131.3833435828819,62.66869841605499,205.94795800106309
4,146.93006508469693,46.33054196109765,206.7393929542054
5,165.82310114663392,37.363536008015885,196.81336284535018
6,183.35136483477848,32.98553976071024,183.6630954045113
7,197.38902134737188,31.498595092835508,171.11238355979262
8,207.0569332418919,31.908166208193805,161.0349005499143
9,212.24544467050205,33.5399780253182,154.21457730417976
10,213.44820258038155,35.81348815701722,150.73830926260123
11,211.65637470407802,38.16938211310348,150.1742431828185
12,208.1620767083952,40.12599269346296,151.71193059814183
13,204.24932163658474,41.3891367389814,154.36154162443387
14,200.8914232162964,41.909348245969234,157.19922853773437
15,198.59918729924775,41.835624763306996,159.56518793744527
16,197.45572729594093,41.40641137977552,161.13786132428356
17,197.26198913104784,40.84991120866842,161.88809966028373
18,197.69632815412967,40.33096187095059,161.97270997491972
19,198.43360139081744,39.940361361850755,161.6260372473318
20,199.21277403123375,39.70723783205757,161.07998813670866
21,199.86299725862173,39.61870250087321,160.51830024050506
22,200.30220532692815,39.63877814498813,160.05901652808373
23,200.5200091832235,39.72372015878012,159.7562706579964
24,200.5536775268447,39.8329970836392,159.6133253895161
25,200.46368650422704,39.935885948293304,159.60042754747965
26,200.31336020951576,40.014020064470515,159.67261972601372
27,200.15511024371662,40.06067340660058,159.7842163496828
28,200.02377824072022,40.07794890927133,159.89827285000845
29,199.93597179943026,40.073145288308474,159.99088291226127
30,199.8933852662328,40.05535917095099,160.0512555628162
31,199.88795381716096,40.03296350595814,160.0790826768809
32,199.90709029455624,40.01217211452814,160.08073759091562
33,199.93789677121399,39.99658160796314,160.0655216208229
34,199.96987708687476,39.98741504890904,160.0427078642162
35,199.99616236947946,39.984153024108366,160.01968460641217
36,200.01355606933794,39.98528031728514,160.00116361337692
37,200.02182579722339,39.9889564078242,159.98921779495242
38,200.02266070031345,39.99350454585803,159.98383475382852
39,200.01862574572215,39.99768857164187,159.98368568263598
40,200.01232371964736,40.000799818560736,159.9868764617919
41,200.00585722599544,40.00260608309681,159.99153669090776
42,200.00058900233495,40.00322336755255,159.9961876301125
43,199.99713938675754,40.00296453324665,159.9998960799958
44,199.9955343306295,40.00220387879807,160.00226179057242
45,199.99541875788213,40.0012791293462,160.00330211277168
46,199.9962682140856,40.00043685378142,160.00329493213297
47,199.99755677890505,39.99981633261892,160.00262688847602
48,199.99886350954554,39.999460971704025,160.00167551875043
49,199.9999185958063,39.99934482293723,160.0007365812565
50,200.00060211167028,39.999403313355494,159.99999457497424
51,200.00091304879166,39.99956044933695,159.9995265018714
52,200.00092579353003,39.99974831690326,159.9993258895667
53,200.00074742619987,39.99991778560607,159.99933478819406
54,200.00048413740444,40.0000414950484,159.99947436754715
55,200.00022017167845,40.000111359780234,159.9996684685413
56,200.0000089326514,40.000133110183434,159.99985795716515
57,199.99987356940156,40.000120058415746,160.0000063721827
58,199.99981343973292,40.000087629803986,160.00009893046308
59,199.99981298780233,40.00004947955122,160.00013753264645
60,199.99985036053187,40.00001539385567,160.00013424561246
61,199.99990412372404,39.99999074194353,160.00010513433244
62,199.9999574242178,39.99997701904928,160.00006555673292
63,199.99999969909067,39.999972969834474,160.00002733107488
64,200.00002648971667,39.99997585258643,159.9999976576969
65,200.0000380949888,39.99998253786448,159.9999793671467
66,200.00003776175154,39.999990281240166,159.99997195700828
67,200.0000299470018,39.99999713436638,159.99997291863184
68,200.00001897540537,40.00000204458815,159.9999789800065
69,200.00000821710242,40.0000047375615,159.99998704533607
70,199.99999976005242,40.000005486306506,159.9999947536411
71,199.99999446105258,40.00000485495899,160.00000068398845
72,199.99999222591444,40.000003478125066,160.00000429596048
73,199.99999237811653,40.000001907178465,160.000005714705
74,199.99999400916388,40.00000052983616,160.00000546099994
75,199.99999624682957,39.99999955226222,160.00000420090822
76,199.9999984174581,39.99999902431138,160.0000025582305
77,200.00000010860228,39.999998886966196,160.0000010044315
78,200.00000115602867,39.999999024254585,159.99999981971675
79,200.00000158551876,39.99999930754573,159.99999910693552
80,200.00000153780718,39.99999962610706,159.99999883608575
81,200.00000119797284,39.99999990282104,159.99999889920613
82,200.00000074186394,40.00000009735368,159.99999916078238
83,200.0000003040819,40.00000020075093,159.99999949516717
84,199.9999999660435,40.00000022570309,159.9999998082534
85,199.99999975914258,40.0000001960305,160.00000004482692
86,199.9999996768222,40.00000013779431,160.0000001853835
87,199.99999968984974,40.00000007322458,160.00000023692567
88,199.9999997605416,40.000000017652546,160.00000022180583
89,199.99999985345895,39.99999997896017,160.00000016758088
90,199.99999994171858,39.99999995873209,160.0000000995493
91,200.00000000926045,39.99999995425213,160.00000003648742
92,200.00000005010182,39.9999999606317,159.99999998926648
93,200.0000000658365,39.999999972593,159.9999999615705
94,200.00000006252796,39.999999985674954,159.9999999517971
95,200.0000000478448,39.99999999683118,159.99999995532403
96,200.0000000289263,40.00000000452326,159.99999996655043
97,200.00000001113943,40.00000000847605,159.99999998038453
98,199.99999999764984,40.00000000926855,159.99999999308162
99,199.99999998959373,40.00000000790324,160.00000000250304
100,199.99999998659544,40.0000000054485,160.00000000795606
101,199.9999999873989,40.00000000279923,160.00000000980188
102,199.9999999904444,40.00000000056045,160.00000000899516
103,199.99999999429423,39.99999999903203,160.00000000667376
104,199.9999999978774,39.99999999826054,160.00000000386206
105,200.00000000057045,39.999999998123016,160.00000000130655
106,200.00000000215837,39.999999998414026,159.9999999994276
107,200.00000000272775,39.999999998917396,159.99999999835487
108,200.00000000253848,39.99999999945367,159.99999999800784
109,200.00000000190764,39.99999999990277,159.9999999981896
110,200.00000000112462,40.000000000206306,159.99999999866907
111,200.00000000040308,40.000000000356685,159.99999999924023
112,199.99999999986568,40.00000000037994,159.99999999975438
113,199.99999999955293,40.00000000031814,160.00000000012892
114,199.9999999994452,40.000000000214996,160.0000000003398
115,199.99999999948884,40.00000000010648,160.00000000040467
116,199.99999999961935,40.00000000001643,160.00000000036422
117,199.99999999977854,39.99999999995618,160.0000000002653
118,199.99999999992377,39.999999999926914,160.00000000014933
119,200.00000000003095,39.999999999923126,160.00000000004593
120,200.00000000009248,39.99999999993621,159.9999999999713
121,200.00000000011278,39.999999999957325,159.9999999999299
122,200.0000000001029,39.99999999997927,159.99999999991783
123,200.00000000007591,39.99999999999732,159.99999999992676
124,200.00000000004357,40.00000000000927,159.99999999994716
125,200.00000000001435,40.00000000001496,159.9999999999707
126,199.99999999999298,40.00000000001554,159.99999999999147
127,199.9999999999809,40.000000000012776,160.0000000000063
128,199.9999999999771,40.000000000008455,160.00000000001444
129,199.9999999999793,40.000000000004015,160.00000000001668
130,199.99999999998488,40.000000000000405,160.00000000001472
131,199.99999999999145,39.99999999999804,160.00000000001052
132,199.99999999999733,39.99999999999694,160.00000000000574
133,200.0000000000016,39.99999999999686,160.00000000000153
134,200.00000000000395,39.99999999999744,159.9999999999986
135,200.00000000000466,39.99999999999832,159.99999999999702
136,200.00000000000415,39.99999999999922,159.99999999999665
137,200.000000000003,39.99999999999994,159.99999999999704
138,200.00000000000168,40.00000000000041,159.9999999999979
139,200.00000000000048,40.000000000000625,159.9999999999989
140,199.99999999999966,40.00000000000063,159.99999999999972
141,199.9999999999992,40.00000000000051,160.00000000000028
142,199.99999999999906,40.000000000000334,160.0000000000006
143,199.99999999999918,40.000000000000156,160.00000000000068
144,199.9999999999994,40.000000000000014,160.00000000000057
145,199.99999999999966,39.99999999999992,160.00000000000043
146,199.9999999999999,39.99999999999988,160.00000000000023
147,200.00000000000006,39.99999999999987,160.00000000000006
148,200.00000000000017,39.99999999999989,159.99999999999994
149,200.0000000000002,39.99999999999993,159.9999999999999
150,200.00000000000017,39.99999999999997,159.99999999999986
151,200.0000000000001,40.0,159.9999999999999
152,200.00000000000006,40.000000000000014,159.99999999999994
153,200.00000000000003,40.00000000000002,159.99999999999994
154,200.0,40.00000000000002,159.99999999999997
155,199.99999999999997,40.00000000000002,160.0
156,199.99999999999997,40.000000000000014,160.0
157,199.99999999999997,40.00000000000001,160.00000000000003
158,199.99999999999997,40.0,160.00000000000003
159,199.99999999999997,39.99999999999999,160.00000000000003
160,200.0,39.999999999999986,160.0
161,200.0,39.999999999999986,160.0
162,200.0,39.999999999999986,160.0
163,200.0,39.999999999999986,160.0
164,200.0,39.999999999999986,160.0
165,200.0,39.999999999999986,160.0
166,200.0,39.999999999999986,160.0
167,200.0,39.999999999999986,160.0
168,200.0,39.999999999999986,160.0
169,200.0,39.999999999999986,160.0
170,200.0,39.999999999999986,160.0
171,200.0,39.999999999999986,160.0
172,200.0,39.999999999999986,160.0
173,200.0,39.999999999999986,160.0
174,200.0,39.999999999999986,160.0
175,200.0,39.999999999999986,160.0
176,200.0,39.999999999999986,160.0
177,200.0,39.999999999999986,160.0
178,200.0,39.999999999999986,160.0
179,200.0,39.999999999999986,160.0
180,200.0,39.999999999999986,160.0
181,200.0,39.999999999999986,160.0
182,200.0,39.999999999999986,160.0
183,200.0,39.999999999999986,160.0
184,200.0,39.999999999999986,160.0
185,200.0,39.999999999999986,160.0
186,200.0,39.999999999999986,160.0
187,200.0,39.999999999999986,160.0
188,200.0,39.999999999999986,160.0
189,200.0,39.999999999999986,160.0
190,200.0,39.999999999999986,160.0
191,200.0,39.999999999999986,160.0
192,200.0,39.999999999999986,160.0
193,200.0,39.999999999999986,160.0
194,200.0,39.999999999999986,160.0
195,200.0,39.999999999999986,160.0
196,200.0,39.999999999999986,160.0
197,200.0,39.999999999999986,160.0
198,200.0,39.999999999999986,160.0
199,200.0,39.999999999999986,160.0
200,200.0,39.999999999999986,160.0
